cts,date,GPS (Lat.) [deg],GPS (Long.) [deg],GPS (Alt.) [m],GPS (2D speed) [m/s],GPS (3D speed) [m/s],fix,precision
11900.777777777781,2025-01-28T19:01:06.535Z,23.7238164,90.4108471,47.330485963400406,0.439,0.73,3,166
11956.388888888892,2025-01-28T19:01:06.590Z,23.7238166,90.4108468,47.333485963400406,0.36,0.73,3,166
12012,2025-01-28T19:01:06.645Z,23.7238169,90.4108465,47.291485963400405,0.273,0.68,3,158
12067.611111111111,2025-01-28T19:01:06.700Z,23.7238176,90.4108456,47.2314859634004,0.23,0.64,3,158
12123.222222222223,2025-01-28T19:01:06.755Z,23.7238177,90.4108452,47.13748596340041,0.228,0.63,3,158
12178.833333333334,2025-01-28T19:01:06.810Z,23.7238179,90.410845,47.077485963400406,0.195,0.64,3,158
12234.444444444445,2025-01-28T19:01:06.865Z,23.7238181,90.4108449,47.01548596340041,0.147,0.63,3,158
12290.055555555557,2025-01-28T19:01:06.920Z,23.7238188,90.4108449,47.0574859634004,0.144,0.63,3,158
12345.666666666668,2025-01-28T19:01:06.975Z,23.7238193,90.4108446,46.99748596340041,0.222,0.61,3,158
12401.27777777778,2025-01-28T19:01:07.030Z,23.7238197,90.4108444,46.9084859634004,0.265,0.64,3,158
12456.88888888889,2025-01-28T19:01:07.085Z,23.72382,90.4108441,46.8024859634004,0.294,0.66,3,158
12512.500000000002,2025-01-28T19:01:07.140Z,23.7238202,90.4108438,46.797485963400405,0.343,0.69,3,158
12568.111111111113,2025-01-28T19:01:07.195Z,23.7238204,90.4108437,46.812485963400405,0.331,0.7,3,158
12623.722222222224,2025-01-28T19:01:07.250Z,23.7238213,90.410843,46.8744859634004,0.406,0.69,3,158
12679.333333333336,2025-01-28T19:01:07.305Z,23.7238213,90.4108431,46.9214859634004,0.387,0.72,3,158
12734.944444444447,2025-01-28T19:01:07.360Z,23.7238215,90.4108428,46.9504859634004,0.441,0.7,3,158
12790.555555555558,2025-01-28T19:01:07.415Z,23.7238217,90.4108426,46.9274859634004,0.453,0.72,3,158
12846.16666666667,2025-01-28T19:01:07.470Z,23.7238219,90.4108428,46.8224859634004,0.453,0.72,3,158
12901.777777777781,2025-01-28T19:01:07.525Z,23.7238217,90.4108427,46.84848596340041,0.429,0.73,3,158
12957.388888888892,2025-01-28T19:01:07.580Z,23.7238212,90.4108426,46.891485963400406,0.345,0.71,3,158
13013,2025-01-28T19:01:07.635Z,23.7238209,90.4108425,46.949485963400406,0.325,0.65,3,203
13065.684210526315,2025-01-28T19:01:07.690Z,23.7238206,90.4108423,46.9784859634004,0.312,0.63,3,203
13118.36842105263,2025-01-28T19:01:07.745Z,23.7238202,90.4108427,46.9784859634004,0.264,0.61,3,203
13171.052631578945,2025-01-28T19:01:07.800Z,23.7238198,90.410843,46.940485963400405,0.204,0.58,3,203
13223.73684210526,2025-01-28T19:01:07.855Z,23.7238195,90.4108431,46.983485963400405,0.184,0.55,3,203
13276.421052631575,2025-01-28T19:01:07.910Z,23.7238194,90.410843,47.00048596340041,0.186,0.53,3,203
13329.10526315789,2025-01-28T19:01:07.965Z,23.7238194,90.4108427,47.0694859634004,0.2,0.53,3,203
13381.789473684204,2025-01-28T19:01:08.020Z,23.7238192,90.4108424,47.1704859634004,0.213,0.52,3,203
13434.47368421052,2025-01-28T19:01:08.075Z,23.7238189,90.4108425,47.2774859634004,0.171,0.51,3,203
13487.157894736834,2025-01-28T19:01:08.130Z,23.7238187,90.4108423,47.267485963400404,0.188,0.47,3,203
13539.84210526315,2025-01-28T19:01:08.185Z,23.7238183,90.4108421,47.13748596340041,0.243,0.48,3,203
13592.526315789464,2025-01-28T19:01:08.240Z,23.7238189,90.4108415,47.0734859634004,0.212,0.52,3,203
